Filter Name,Raw Logic,Eliminated Count,Rank,Reason,Eliminated Count (Rechecked),Status,EliminatedCount,FilterName,Type,Logic,Action,Eliminations
"Seed contains 2, 3, 5, 7 → eliminate even combos","2, 3, 5, 7",0.0,,,0.0,Active,0.0,eliminate_even_2357,Quad,set('2357').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 1, 2, 3, 4 → eliminate even combos","1, 2, 3, 4",0.0,,,0.0,Active,0.0,eliminate_even_1234,Quad,set('1234').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 0, 3, 5, 8 → eliminate even combos","0, 3, 5, 8",0.0,,,0.0,Active,0.0,eliminate_even_0358,Quad,set('0358').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 0, 2, 3, 9 → eliminate even combos","0, 2, 3, 9",0.0,,,0.0,Active,0.0,eliminate_even_0239,Quad,set('0239').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
,,,,,,,,"Quad Filter 32: 3,4,5,9",Manual,"If seed includes digits [3,4,5,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 31: 1,3,6,7",Manual,"If seed includes digits [1,3,6,7] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 30: 1,2,3,6",Manual,"If seed includes digits [1,2,3,6] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 29: 4,6,8,9",Manual,"If seed includes digits [4,6,8,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 5: 0,2,7,9",Manual,"If seed includes digits [0,2,7,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 4: 0,2,4,6",Manual,"If seed includes digits [0,2,4,6] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 3: 0,2,3,7",Manual,"If seed includes digits [0,2,3,7] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 2: 0,1,7,9",Manual,"If seed includes digits [0,1,7,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 1: 0,1,3,6",Manual,"If seed includes digits [0,1,3,6] (in any order)",Eliminate all odd-sum combinations,0
FullHouse Seed: Eliminate Even-Sum Combos,"If the seed's digit structure is a FullHouse (three of one digit and a pair of another), eliminate combos whose digit sum is even.",,,,,,1.0,,,,,0
Contains Unique-to-Seed Digit,Eliminate combo if it does not contain at least one digit which is present in the seed but was not present in the draw preceding the seed.,,,,,,93.0,,,,,0
>=2 Common Digits in Both Prev 2 Draws,Eliminate combo if it contains at least 2 digits which appeared in both of the previous 2 draws (including seed).,,,,,,40.0,,,,,0
Distinct <2 from Prev2 Draws,Eliminate combo if it does not contain at least 2 distinct digits which were present in at least one of the previous 2 draws (including seed).,,,,,,53.0,,,,,0
≥2 Distinct Shared Digits vs Prev 2 Draws,Eliminate combo if it contains at least 2 distinct digits which each appeared in at least one of the previous 2 draws (including seed).,,,,,,308.0,,,,,0
No New Digit in Prev 2 Draws,Eliminate combo if it does NOT include at least one digit not present in the previous 2 draws (including seed).,,,,,,45.0,,,,,0
"if seed sum end digit is 7 and combo digit sum end digit is 8, eliminate combo","if seed sum end digit is 7 and combo digit sum end digit is 8, eliminate combo",1.0,114,,0.0,Skipped - Unrecognized Logic,1.0,,,,,0
"if seed sum end digit is 4 and combo digit sum end digit is 8, eliminate combo  ","if seed sum end digit is 4 and combo digit sum end digit is 8, eliminate combo  ",1.0,114,,0.0,Skipped - Unrecognized Logic,1.0,,,,,0
"if seed sum end digit is 1 and combo digit sum end digit is 7, eliminate combo  ","if seed sum end digit is 1 and combo digit sum end digit is 7, eliminate combo  ",1.0,114,,0.0,Skipped - Unrecognized Logic,1.0,,,,,0
"if seed sum end digit is 4 and combo digit sum end digit is 7, eliminate combo  ","if seed sum end digit is 4 and combo digit sum end digit is 7, eliminate combo  ",1.0,114,,0.0,Skipped - Unrecognized Logic,1.0,,,,,0
"if seed sum end digit is 4 and combo digit sum end digit is 6, eliminate combo  ","if seed sum end digit is 4 and combo digit sum end digit is 6, eliminate combo  ",1.0,114,,0.0,Skipped - Unrecognized Logic,1.0,,,,,0
"if seed sum end digit is 5 and combo digit sum end digit is 6, eliminate combo  ","if seed sum end digit is 5 and combo digit sum end digit is 6, eliminate combo  ",1.0,114,,0.0,Skipped - Unrecognized Logic,1.0,,,,,0
"if seed sum end digit is 8 and combo digit sum end digit is 5, eliminate combo  ","if seed sum end digit is 8 and combo digit sum end digit is 5, eliminate combo  ",3.0,124,,0.0,Skipped - Unrecognized Logic,3.0,,,,,0
"if seed sum end digit is 0 and combo digit sum end digit is 4, eliminate combo  ","if seed sum end digit is 0 and combo digit sum end digit is 4, eliminate combo  ",1.0,114,,0.0,Skipped - Unrecognized Logic,1.0,,,,,0
,,,,,,,,"Quad Filter 6: 0,2,8,9",Manual,"If seed includes digits [0,2,8,9] (in any order)",Eliminate all odd-sum combinations,0
"Seed contains 0, 1, 4, 8 → eliminate even combos","0, 1, 4, 8",0.0,,,0.0,Active,0.0,eliminate_even_0148,Quad,set('0148').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
,,,,,,,,"Quad Filter 7: 0,3,5,7",Manual,"If seed includes digits [0,3,5,7] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 9: 0,3,7,8",Manual,"If seed includes digits [0,3,7,8] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 28: 4,6,7,9",Manual,"If seed includes digits [4,6,7,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 27: 4,5,6,9",Manual,"If seed includes digits [4,5,6,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 26: 3,6,8,9",Manual,"If seed includes digits [3,6,8,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 25: 3,4,6,9",Manual,"If seed includes digits [3,4,6,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 24: 3,4,6,7",Manual,"If seed includes digits [3,4,6,7] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 23: 2,7,8,9",Manual,"If seed includes digits [2,7,8,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 22: 2,6,8,9",Manual,"If seed includes digits [2,6,8,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 21: 2,4,8,9",Manual,"If seed includes digits [2,4,8,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 20: 2,4,5,9",Manual,"If seed includes digits [2,4,5,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 19: 2,3,8,9",Manual,"If seed includes digits [2,3,8,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 18: 2,3,5,8",Manual,"If seed includes digits [2,3,5,8] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 17: 1,7,8,9",Manual,"If seed includes digits [1,7,8,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 16: 1,5,6,8",Manual,"If seed includes digits [1,5,6,8] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 15: 1,4,7,8",Manual,"If seed includes digits [1,4,7,8] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 14: 1,4,6,8",Manual,"If seed includes digits [1,4,6,8] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 13: 1,4,6,7",Manual,"If seed includes digits [1,4,6,7] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 12: 1,3,8,9",Manual,"If seed includes digits [1,3,8,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 11: 0,6,7,8",Manual,"If seed includes digits [0,6,7,8] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 10: 0,3,7,9",Manual,"If seed includes digits [0,3,7,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 8: 0,3,6,7",Manual,"If seed includes digits [0,3,6,7] (in any order)",Eliminate all odd-sum combinations,0
"if seed sum end digit is 3 and combo digit sum end digit is 3, eliminate combo  ","if seed sum end digit is 3 and combo digit sum end digit is 3, eliminate combo  ",1.0,114,,0.0,Skipped - Unrecognized Logic,1.0,,,,,0
"Seed contains 0, 4, 5, 9 → eliminate even combos","0, 4, 5, 9",0.0,,,0.0,Active,0.0,eliminate_even_0459,Quad,set('0459').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 0, 1, 8, 9 → eliminate even combos","0, 1, 8, 9",0.0,,,0.0,Active,0.0,eliminate_even_0189,Quad,set('0189').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Row 76: Seed contains 0,2,3,4 → eliminate combos with odd sums","0,2,3,4",0.0,,,0.0,Active,0.0,eliminate_odd_sum_0234,Quad,set('0234').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 75: Seed contains 0,4,5,6 → eliminate combos with odd sums","0,4,5,6",0.0,,,0.0,Active,0.0,eliminate_odd_sum_0456,Quad,set('0456').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 74: Seed contains 0,1,2,6 → eliminate combos with odd sums","0,1,2,6",0.0,,,0.0,Active,0.0,eliminate_odd_sum_0126,Quad,set('0126').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 73: Seed contains 0,2,6,7 → eliminate combos with odd sums","0,2,6,7",0.0,,,0.0,Active,0.0,eliminate_odd_sum_0267,Quad,set('0267').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 72: Seed contains 0,1,6,9 → eliminate combos with odd sums","0,1,6,9",0.0,,,0.0,Active,0.0,eliminate_odd_sum_0169,Quad,set('0169').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 71: Seed contains 6,7,8,9 → eliminate combos with odd sums","6,7,8,9",0.0,,,0.0,Active,0.0,eliminate_odd_sum_6789,Quad,set('6789').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 70: Seed contains 2,3,6,7 → eliminate combos with odd sums","2,3,6,7",0.0,,,0.0,Active,0.0,eliminate_odd_sum_2367,Quad,set('2367').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 69: Seed contains 5,6,8,9 → eliminate combos with odd sums","5,6,8,9",0.0,,,0.0,Active,0.0,eliminate_odd_sum_5689,Quad,set('5689').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 77: Seed contains 0,3,4,5 → eliminate combos with odd sums","0,3,4,5",0.0,,,0.0,Active,0.0,eliminate_odd_sum_0345,Quad,set('0345').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 68: Seed contains 3,7,8,9 → eliminate combos with odd sums","3,7,8,9",0.0,,,0.0,Active,0.0,eliminate_odd_sum_3789,Quad,set('3789').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 66: Seed contains 3,4,5,7 → eliminate combos with odd sums","3,4,5,7",0.0,,,0.0,Active,0.0,eliminate_odd_sum_3457,Quad,set('3457').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 65: Seed contains 3,4,5,6 → eliminate combos with odd sums","3,4,5,6",0.0,,,0.0,Active,0.0,eliminate_odd_sum_3456,Quad,set('3456').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 64: Seed contains 2,5,7,8 → eliminate combos with odd sums","2,5,7,8",0.0,,,0.0,Active,0.0,eliminate_odd_sum_2578,Quad,set('2578').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 63: Seed contains 2,4,6,7 → eliminate combos with odd sums","2,4,6,7",0.0,,,0.0,Active,0.0,eliminate_odd_sum_2467,Quad,set('2467').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 62: Seed contains 2,4,5,8 → eliminate combos with odd sums","2,4,5,8",0.0,,,0.0,Active,0.0,eliminate_odd_sum_2458,Quad,set('2458').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 61: Seed contains 1,5,7,9 → eliminate combos with odd sums","1,5,7,9",0.0,,,0.0,Active,0.0,eliminate_odd_sum_1579,Quad,set('1579').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 60: Seed contains 1,4,6,9 → eliminate combos with odd sums","1,4,6,9",0.0,,,0.0,Active,0.0,eliminate_odd_sum_1469,Quad,set('1469').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 59: Seed contains 1,4,5,7 → eliminate combos with odd sums","1,4,5,7",0.0,,,0.0,Active,0.0,eliminate_odd_sum_1457,Quad,set('1457').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 67: Seed contains 3,4,8,9 → eliminate combos with odd sums","3,4,8,9",0.0,,,0.0,Active,0.0,eliminate_odd_sum_3489,Quad,set('3489').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 78: Seed contains 0,1,6,7 → eliminate combos with odd sums","0,1,6,7",0.0,,,0.0,Active,0.0,eliminate_odd_sum_0167,Quad,set('0167').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 79: Seed contains 0,1,3,8 → eliminate combos with odd sums","0,1,3,8",0.0,,,0.0,Active,0.0,eliminate_odd_sum_0138,Quad,set('0138').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 80: Seed contains 0,4,5,7 → eliminate combos with odd sums","0,4,5,7",0.0,,,0.0,Active,0.0,eliminate_odd_sum_0457,Quad,set('0457').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 160: Seed contains 4,7,8,9 → eliminate combos with even sums","4,7,8,9",0.0,,,0.0,Active,0.0,eliminate_even_sum_4789,Quad,set('4789').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 159: Seed contains 2,3,4,8 → eliminate combos with even sums","2,3,4,8",0.0,,,0.0,Active,0.0,eliminate_even_sum_2348,Quad,set('2348').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 158: Seed contains 0,2,5,8 → eliminate combos with even sums","0,2,5,8",0.0,,,0.0,Active,0.0,eliminate_even_sum_0258,Quad,set('0258').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 157: Seed contains 0,4,7,9 → eliminate combos with even sums","0,4,7,9",0.0,,,0.0,Active,0.0,eliminate_even_sum_0479,Quad,set('0479').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 156: Seed contains 2,3,5,9 → eliminate combos with even sums","2,3,5,9",0.0,,,0.0,Active,0.0,eliminate_even_sum_2359,Quad,set('2359').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 155: Seed contains 2,3,6,8 → eliminate combos with even sums","2,3,6,8",0.0,,,0.0,Active,0.0,eliminate_even_sum_2368,Quad,set('2368').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 154: Seed contains 0,3,4,8 → eliminate combos with even sums","0,3,4,8",0.0,,,0.0,Active,0.0,eliminate_even_sum_0348,Quad,set('0348').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 153: Seed contains 0,4,7,8 → eliminate combos with even sums","0,4,7,8",0.0,,,0.0,Active,0.0,eliminate_even_sum_0478,Quad,set('0478').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 152: Seed contains 0,1,3,7 → eliminate combos with even sums","0,1,3,7",0.0,,,0.0,Active,0.0,eliminate_even_sum_0137,Quad,set('0137').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 151: Seed contains 0,2,3,5 → eliminate combos with even sums","0,2,3,5",0.0,,,0.0,Active,0.0,eliminate_even_sum_0235,Quad,set('0235').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 150: Seed contains 0,3,5,9 → eliminate combos with even sums","0,3,5,9",0.0,,,0.0,Active,0.0,eliminate_even_sum_0359,Quad,set('0359').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 149: Seed contains 1,2,4,9 → eliminate combos with even sums","1,2,4,9",0.0,,,0.0,Active,0.0,eliminate_even_sum_1249,Quad,set('1249').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 148: Seed contains 3,4,6,8 → eliminate combos with even sums","3,4,6,8",0.0,,,0.0,Active,0.0,eliminate_even_sum_3468,Quad,set('3468').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 147: Seed contains 1,2,5,8 → eliminate combos with even sums","1,2,5,8",0.0,,,0.0,Active,0.0,eliminate_even_sum_1258,Quad,set('1258').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 146: Seed contains 2,5,6,7 → eliminate combos with even sums","2,5,6,7",0.0,,,0.0,Active,0.0,eliminate_even_sum_2567,Quad,set('2567').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 145: Seed contains 0,6,7,9 → eliminate combos with even sums","0,6,7,9",0.0,,,0.0,Active,0.0,eliminate_even_sum_0679,Quad,set('0679').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 144: Seed contains 0,2,5,6 → eliminate combos with even sums","0,2,5,6",0.0,,,0.0,Active,0.0,eliminate_even_sum_0256,Quad,set('0256').issubset(seed) and sum(int(d) for d in combo) % 2 == 0,Eliminate combos with even sums,0
"Row 82: Seed contains 0,2,4,5 → eliminate combos with odd sums","0,2,4,5",0.0,,,0.0,Active,0.0,eliminate_odd_sum_0245,Quad,set('0245').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 81: Seed contains 0,2,6,8 → eliminate combos with odd sums","0,2,6,8",0.0,,,0.0,Active,0.0,eliminate_odd_sum_0268,Quad,set('0268').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 58: Seed contains 1,4,5,6 → eliminate combos with odd sums","1,4,5,6",0.0,,,0.0,Active,0.0,eliminate_odd_sum_1456,Quad,set('1456').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 57: Seed contains 1,3,7,9 → eliminate combos with odd sums","1,3,7,9",0.0,,,0.0,Active,0.0,eliminate_odd_sum_1379,Quad,set('1379').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 56: Seed contains 1,2,8,9 → eliminate combos with odd sums","1,2,8,9",0.0,,,0.0,Active,0.0,eliminate_odd_sum_1289,Quad,set('1289').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 55: Seed contains 1,2,5,6 → eliminate combos with odd sums","1,2,5,6",0.0,,,0.0,Active,0.0,eliminate_odd_sum_1256,Quad,set('1256').issubset(seed) and sum(int(d) for d in combo) % 2 == 1,Eliminate combos with odd sums,0
"Row 7: Seed contains 3,4,9 → eliminate odd combos","3,4,9",0.0,,,0.0,Active,0.0,eliminate_odd_349,Triplet,set('349').issubset(seed) and int(combo) % 2 == 1,Eliminate odd combos,0
"Seed contains 4,6,9 → eliminate odd combos","4,6,9",0.0,,,0.0,Active,0.0,eliminate_odd_469,Triplet,set('469').issubset(seed) and int(combo) % 2 == 1,Eliminate odd combos,0
"Seed contains 0,3,7 → eliminate odd combos","0,3,7",0.0,,,0.0,Active,0.0,eliminate_odd_037,Triplet,set('037').issubset(seed) and int(combo) % 2 == 1,Eliminate odd combos,0
"Seed contains 3,4,8 → eliminate odd combos","3,4,8",0.0,,,0.0,Active,0.0,eliminate_odd_348,Triplet,set('348').issubset(seed) and int(combo) % 2 == 1,Eliminate odd combos,0
