name,type,logic,action,Eliminated Count
"If seed sum is 24–25 and combo digit sum is <19 or >25 -> eliminate combo., If seed sum is 24–25 and combo digit sum is <19 or >25, eliminate combo",Manual,If seed sum is 24–25 and combo digit sum is <19 or >25,"eliminate combo., If seed sum is 24–25 and combo digit sum is <19 or >25, eliminate combo",0
"If digit 2 appears in the seed -> then the combomust contain either digit 5 or digit 4 or else , eliminate combo",Manual,If digit 2 appears in the seed,"then the combomust contain either digit 5 or digit 4 or else , eliminate combo",0
"seed digit exclusion 21 -> eliminate combo if seed contains (in any order)  0 and combo contains neither 1, 2, nor 3",Manual,seed digit exclusion 21,"eliminate combo if seed contains (in any order)  0 and combo contains neither 1, 2, nor 3",0
"If digit 2 appears in the seed -> then the combomust contain either digit 5 or digit 4 or else , eliminate comboIf digit 2 appears in the seed, then the combomust contain either digit 5 or digit 4 or else , eliminate combo,",Manual,If digit 2 appears in the seed,"then the combomust contain either digit 5 or digit 4 or else , eliminate comboIf digit 2 appears in the seed, then the combomust contain either digit 5 or digit 4 or else , eliminate combo,",0
seed sum range 12 -> Keep only combinations where the digit sum is between 12 and 20 (inclusive) if the seed sum is 16,Manual,seed sum range 12,Keep only combinations where the digit sum is between 12 and 20 (inclusive) if the seed sum is 16,0
seed sum range 13 -> Keep only combinations where the digit sum is between 12 and 25 (inclusive) if the seed sum is  12,Manual,seed sum range 13,Keep only combinations where the digit sum is between 12 and 25 (inclusive) if the seed sum is  12,0
seed sum range 14 -> Keep only combinations where the digit sum is between 14 and 22 (inclusive) if the seed sum is between 13 and 15,Manual,seed sum range 14,Keep only combinations where the digit sum is between 14 and 22 (inclusive) if the seed sum is between 13 and 15,0
seed sum range 15 -> Keep only combinations where the digit sum is between 14 and 24 (inclusive) if the seed sum is between 19 and 21,Manual,seed sum range 15,Keep only combinations where the digit sum is between 14 and 24 (inclusive) if the seed sum is between 19 and 21,0
seed sum range 16 -> Keep only combinations where the digit sum is between 16 and 25 (inclusive) if the seed sum is between 22 and 23,Manual,seed sum range 16,Keep only combinations where the digit sum is between 16 and 25 (inclusive) if the seed sum is between 22 and 23,0
seed sum range 17 -> Keep only combinations where the digit sum is between 19 and 25 (inclusive) if the seed sum is 17,Manual,seed sum range 17,Keep only combinations where the digit sum is between 19 and 25 (inclusive) if the seed sum is 17,0
seed sum range 18 -> Keep only combinations where the digit sum is between 20 and 28 (inclusive) if the seed sum is 26 or higher,Manual,seed sum range 18,Keep only combinations where the digit sum is between 20 and 28 (inclusive) if the seed sum is 26 or higher,0
seed digit exclusion 19 -> eliminate combo if seed contains (in any order)  2 and combo contains neither 5 nor 4,Manual,seed digit exclusion 19,eliminate combo if seed contains (in any order)  2 and combo contains neither 5 nor 4,0
seed sum range 11 -> Keep only combinations where the digit sum is between 11 and 26 (inclusive) if the seed sum is 17 or 18,Manual,seed sum range 11,Keep only combinations where the digit sum is between 11 and 26 (inclusive) if the seed sum is 17 or 18,0
"seed sum = 13-15 -> if seed sum is between 13 and 15 and combo digit sum is <14 and >22, eliminate combo",Manual,seed sum = 13-15,"if seed sum is between 13 and 15 and combo digit sum is <14 and >22, eliminate combo",0
sum = 39 -> eliminate combo if the digit sum of the combination equals 39 unless seed >/=30,Manual,sum = 39,eliminate combo if the digit sum of the combination equals 39 unless seed >/=30,0
sum = 37 -> eliminate combo if the digit sum of the combination equals 37 unless seed >/=30,Manual,sum = 37,eliminate combo if the digit sum of the combination equals 37 unless seed >/=30,0
seed digit exclusion 27 -> eliminate combo if seed contains (in any order)  6 and combo contains neither 3 nor 4,Manual,seed digit exclusion 27,eliminate combo if seed contains (in any order)  6 and combo contains neither 3 nor 4,0
"seed digit exclusion 28 -> eliminate combo if seed contains (in any order)  5 and combo contains neither 2, 3, nor 1",Manual,seed digit exclusion 28,"eliminate combo if seed contains (in any order)  5 and combo contains neither 2, 3, nor 1",0
seed digit exclusion 29 -> eliminate combo if seed contains (in any order)  1 and combo contains neither 4 nor 2,Manual,seed digit exclusion 29,eliminate combo if seed contains (in any order)  1 and combo contains neither 4 nor 2,0
seed contains (in any order)  '00' and combo sum < 11 or > 33 -> eliminate combo,Manual,seed contains (in any order)  '00' and combo sum < 11 or > 33,eliminate combo,0
seed contains (in any order)  both '0' and '5' and combo sum < 10 or > 30 -> eliminate combo,Manual,seed contains (in any order)  both '0' and '5' and combo sum < 10 or > 30,eliminate combo,0
seed contains (in any order)  both '0' and '6' and combo sum < 8 or > 29 -> eliminate combo,Manual,seed contains (in any order)  both '0' and '6' and combo sum < 8 or > 29,eliminate combo,0
seed contains (in any order)  both '0' and '7' and combo sum < 8 or > 28 -> eliminate combo,Manual,seed contains (in any order)  both '0' and '7' and combo sum < 8 or > 28,eliminate combo,0
"combo sum last digit = seed sum first digit (e.g. 21, 18) -> eliminate combo",Manual,"combo sum last digit = seed sum first digit (e.g. 21, 18)",eliminate combo,0
cold digit trap - requires at least 1 digit from the coldest digits. -> eliminate combo if no digit = 1 digit from cold digits,Manual,cold digit trap - requires at least 1 digit from the coldest digits.,eliminate combo if no digit = 1 digit from cold digits,0
combo contains no due digits -> eliminate combo,Manual,combo contains no due digits,eliminate combo,0
 -> eliminate combos which contain 4 identical digits,Manual,,eliminate combos which contain 4 identical digits,0
 -> eliminate combos in which 3 digits are identical,Manual,,eliminate combos in which 3 digits are identical,0
" -> eliminate combos containing  exactly 3 digits: two twice, one once",Manual,,"eliminate combos containing  exactly 3 digits: two twice, one once",0
 -> eliminate combos which include a digit as well as thst digit's mirror,Manual,,eliminate combos which include a digit as well as thst digit's mirror,0
"Prime Digits ≥4 -> Eliminate combos with ≥4 prime digits (2,3,5,7)",Manual,Prime Digits ≥4,"Eliminate combos with ≥4 prime digits (2,3,5,7)",0
seed sum is 25-33 and combo sum is 0-15 -> eliminate combo,Manual,seed sum is 25-33 and combo sum is 0-15,eliminate combo,0
seed sum is 16-24 and combo sum is 25-33 -> eliminate combo,Manual,seed sum is 16-24 and combo sum is 25-33,eliminate combo,0
If any digit in combo equals the mirror of the last digit of the seed sum -> eliminate combo,Manual,If any digit in combo equals the mirror of the last digit of the seed sum,eliminate combo,0
"combo digit sum = seed sum mirror -> eliminate combos whose digit sum matches seed mirror sum.,eliminate combo",Manual,combo digit sum = seed sum mirror,"eliminate combos whose digit sum matches seed mirror sum.,eliminate combo",0
sum = 10 -> eliminate combo if the digit sum of the combination equals 10,Manual,sum = 10,eliminate combo if the digit sum of the combination equals 10,0
mirror count = 0 - eliminate combos that do not contain any mirror digit from the seed. -> eliminate combo if combo does not contain the mirror of any digts in the seeed,Manual,mirror count = 0 - eliminate combos that do not contain any mirror digit from the seed.,eliminate combo if combo does not contain the mirror of any digts in the seeed,0
"if seed contains (in any order)  0 -> combo must contain 1, 2, or 3.,if any digit in the seed is  0 and combo does not contain either 1, 2, or 3, eliminate combo",Manual,if seed contains (in any order)  0,"combo must contain 1, 2, or 3.,if any digit in the seed is  0 and combo does not contain either 1, 2, or 3, eliminate combo",0
"seed digit exclusion 23 -> eliminate combo if seed contains (in any order)  9 and combo contains neither 3, 5, nor 1",Manual,seed digit exclusion 23,"eliminate combo if seed contains (in any order)  9 and combo contains neither 3, 5, nor 1",0
seed digit exclusion 24 -> eliminate combo if seed contains (in any order)  4 and combo contains neither 5 nor 6,Manual,seed digit exclusion 24,eliminate combo if seed contains (in any order)  4 and combo contains neither 5 nor 6,0
seed digit exclusion 25 -> eliminate combo if seed contains (in any order)  7 and combo contains neither 2 nor 1,Manual,seed digit exclusion 25,eliminate combo if seed contains (in any order)  7 and combo contains neither 2 nor 1,0
"seed digit exclusion 26 -> eliminate combo if seed contains (in any order)  8 and combo contains neither 1, 3, nor 2",Manual,seed digit exclusion 26,"eliminate combo if seed contains (in any order)  8 and combo contains neither 1, 3, nor 2",0
"if seed contains (in any order)  1 -> combo must contain 2, 3, or 4.,if any digit in the seed is 1 and combo does not contain either 2, 3, or 4, eliminate combo",Manual,if seed contains (in any order)  1,"combo must contain 2, 3, or 4.,if any digit in the seed is 1 and combo does not contain either 2, 3, or 4, eliminate combo",0
"v-trac: all digits same group - eliminates if all digits share the same v-trac group. -> if all digits in combo share a single v-trac group, eliminate combo",Manual,v-trac: all digits same group - eliminates if all digits share the same v-trac group.,"if all digits in combo share a single v-trac group, eliminate combo",0
"v-trac: only 2 groups present - eliminates if only 2 v-trac groups used. -> if all five combo digits represent </=2 v-trac groups, eliminate combo",Manual,v-trac: only 2 groups present - eliminates if only 2 v-trac groups used.,"if all five combo digits represent </=2 v-trac groups, eliminate combo",0
"v-trac: all 5 groups present - eliminates if all 5 v-trac groups used. -> If each of the 5 digits in the combo is from a different v trac group, 5 different v-trac groups in combo, eliminate combo",Manual,v-trac: all 5 groups present - eliminates if all 5 v-trac groups used.,"If each of the 5 digits in the combo is from a different v trac group, 5 different v-trac groups in combo, eliminate combo",0
"combo contains last digit of mirror sum - manual filter. -> if any digit in the combo is =seed sum last digit mirror, eliminate mirror",Manual,combo contains last digit of mirror sum - manual filter.,"if any digit in the combo is =seed sum last digit mirror, eliminate mirror",0
v-trac: all seed v-tracs present - eliminates if all v-trac groups from seed are in combo. -> eliminate combo if all v-trac groups from seed are in combo,Manual,v-trac: all seed v-tracs present - eliminates if all v-trac groups from seed are in combo.,eliminate combo if all v-trac groups from seed are in combo,0
"repeating digit filter (3+ shared & sum < 25) - for singles only. -> if combo is a single ( 5 unique digits), is <25 and shares >/=3 digits with seed, eliminate combo",Manual,repeating digit filter (3+ shared & sum < 25) - for singles only.,"if combo is a single ( 5 unique digits), is <25 and shares >/=3 digits with seed, eliminate combo",0
"if Seed contains (in any order) 00 and sum <11 or >33. -> if seed contains (in any order)  00 and combo digit sum is <11 or >33, eliminte combo",Manual,if Seed contains (in any order) 00 and sum <11 or >33.,"if seed contains (in any order)  00 and combo digit sum is <11 or >33, eliminte combo",0
"if Seed contains (in any order) 04 and sum <10 or >29. -> if seed contains (in any order)  0 and 4 in any order and combo digit sum is <10 or >29, eliminate combo",Manual,if Seed contains (in any order) 04 and sum <10 or >29.,"if seed contains (in any order)  0 and 4 in any order and combo digit sum is <10 or >29, eliminate combo",0
"sum > 40 - eliminates combos where digit sum is over 40. -> if combo digit sum is >40, eliminate combo",Manual,sum > 40 - eliminates combos where digit sum is over 40.,"if combo digit sum is >40, eliminate combo",0
if Seed contains (in any order) 06 and sum <8 or >29. -> eliminate combo if seed contains (in any order)  0 and 6  in any order and  combo digit sum is <8 or >29,Manual,if Seed contains (in any order) 06 and sum <8 or >29.,eliminate combo if seed contains (in any order)  0 and 6  in any order and  combo digit sum is <8 or >29,0
digit spread < 4 - eliminates combos with low spread between digits. -> eliminate combo if combo digit spread is <4,Manual,digit spread < 4 - eliminates combos with low spread between digits.,eliminate combo if combo digit spread is <4,0
high-end digit limit - eliminates if 2 or more digits >= 8. -> eliminate combo if combo contains 2 or more digits >/= 8,Manual,high-end digit limit - eliminates if 2 or more digits >= 8.,eliminate combo if combo contains 2 or more digits >/= 8,0
all low digits (0-3) - eliminates if all 5 digits are from 0 to 3. -> eliminate combos if all five digits are >/=3,Manual,all low digits (0-3) - eliminates if all 5 digits are from 0 to 3.,eliminate combos if all five digits are >/=3,0
v-trac: none of seed v-tracs present - eliminates if no seed v-tracs in combo. -> eliminate combo if none of the v-trac groups from the seed is present in the combo,Manual,v-trac: none of seed v-tracs present - eliminates if no seed v-tracs in combo.,eliminate combo if none of the v-trac groups from the seed is present in the combo,0
"seed sum = 17-18 -> if seed sum =17-18 and combo digit sum is <11 or >26, eliminate combo",Manual,seed sum = 17-18,"if seed sum =17-18 and combo digit sum is <11 or >26, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 34 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 34, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 34,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 34, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 33 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 33, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 33,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 33, eliminate combo",0
"If the digit sum of the combo equals the mirror of the seed sum -> eliminate combo.,If the digit sum of the combo equals the mirror of the seed sum, eliminate combo",Manual,If the digit sum of the combo equals the mirror of the seed sum,"eliminate combo.,If the digit sum of the combo equals the mirror of the seed sum, eliminate combo",0
"seed sum = 19-21 -> if seed sum = 19-21 and combo digit sum is <14 or >24, eliminate combo",Manual,seed sum = 19-21,"if seed sum = 19-21 and combo digit sum is <14 or >24, eliminate combo",0
"seed sum = 22-23 -> if seed sum = 22-23 and combo digit sum is <16 or >25, eliminate  combo",Manual,seed sum = 22-23,"if seed sum = 22-23 and combo digit sum is <16 or >25, eliminate  combo",0
"seed sum = 24-25 -> if seed sum is 24-25 and combo digit sum is >19 or >25, eliminate combo",Manual,seed sum = 24-25,"if seed sum is 24-25 and combo digit sum is >19 or >25, eliminate combo",0
"seed sum <=12 -> if seed sum is </= 12 and combo digit sum <12 or >25, eliminate combo",Manual,seed sum <=12,"if seed sum is </= 12 and combo digit sum <12 or >25, eliminate combo",0
"seed sum >=26 -> if seed sum is >/=26 and combo digit sum is <20 or >28, eliminate combo",Manual,seed sum >=26,"if seed sum is >/=26 and combo digit sum is <20 or >28, eliminate combo",0
"If seed sum is 24 or 25 and combo digit sum is <19 or >25 -> eliminate combo., If seed sum is 24 or 25 and combo digit sum is <19 or >25, eliminate combo",Manual,If seed sum is 24 or 25 and combo digit sum is <19 or >25,"eliminate combo., If seed sum is 24 or 25 and combo digit sum is <19 or >25, eliminate combo",0
"if all 5 digits in combo are even -> eliminate combo,if all 5 digits in combo are even, eliminate combo",Manual,if all 5 digits in combo are even,"eliminate combo,if all 5 digits in combo are even, eliminate combo",0
"seed sum = 16 -> if seed sum =16, a combo digit sum is <12 and >20, eliminate combo",Manual,seed sum = 16,"if seed sum =16, a combo digit sum is <12 and >20, eliminate combo",0
"if all 5 digits in combo are odd -> eliminate combo,if all 5 digits in combo are odd, eliminate combo",Manual,if all 5 digits in combo are odd,"eliminate combo,if all 5 digits in combo are odd, eliminate combo",0
"if all 5 digits in combo are >/=5 -> eliminate combo ,if all 5 digits in combo are >/=5, eliminate combo",Manual,if all 5 digits in combo are >/=5,"eliminate combo ,if all 5 digits in combo are >/=5, eliminate combo",0
the spread (max digit – min digit) difference from seed must be > 3 or eliminate combo -> the spread (max digit – min digit) difference from seed must be > 3 or eliminate combo,Manual,the spread (max digit – min digit) difference from seed must be > 3 or eliminate combo,the spread (max digit – min digit) difference from seed must be > 3 or eliminate combo,0
"if combo contains more than 3 unique digits -> it must also contain at least 1 cold digt, or else eliminate combo,if combo contains more than 3 unique digits, it must also contain at least 1 cold digt, or else eliminate combo",Manual,if combo contains more than 3 unique digits,"it must also contain at least 1 cold digt, or else eliminate combo,if combo contains more than 3 unique digits, it must also contain at least 1 cold digt, or else eliminate combo",0
"if combo contains 5 unique digits and total digit sum >25 -> 3 digits must match seed or else eliminate combo,if combo contains 5 unique digits and total digit sum >25, 3 digits must match seed or else eliminate combo",Manual,if combo contains 5 unique digits and total digit sum >25,"3 digits must match seed or else eliminate combo,if combo contains 5 unique digits and total digit sum >25, 3 digits must match seed or else eliminate combo",0
"if combo contains same number of even digits as seed -> eliminate combo,if combo contains same number of even digits as seed, eliminate combo",Manual,if combo contains same number of even digits as seed,"eliminate combo,if combo contains same number of even digits as seed, eliminate combo",0
"if combo contains same odd number of digits as seed -> eliminate combo,if combo contains same odd number of digits as seed, eliminate combo",Manual,if combo contains same odd number of digits as seed,"eliminate combo,if combo contains same odd number of digits as seed, eliminate combo",0
" -> Eliminate combos with same root sum as seed,Eliminate combos with same root sum as seed",Manual,,"Eliminate combos with same root sum as seed,Eliminate combos with same root sum as seed",0
"total digit sum is  ±13 from seed sum,eliminate combo if total digit sum is  ±13 from seed sum -> eliminate combo",Manual,"total digit sum is  ±13 from seed sum,eliminate combo if total digit sum is  ±13 from seed sum",eliminate combo,0
"if all five digits in combo are< /=4 -> eliminate combo,if all five digits in combo are< /=4, eliminate combo",Manual,if all five digits in combo are< /=4,"eliminate combo,if all five digits in combo are< /=4, eliminate combo",0
"total digit sum is  ±14 from seed sum,eliminate combo if total digit sum is  ±14 from seed sum -> eliminate combo",Manual,"total digit sum is  ±14 from seed sum,eliminate combo if total digit sum is  ±14 from seed sum",eliminate combo,0
If no digit in the combo is a mirror of any digit in the seed -> eliminate combo,Manual,If no digit in the combo is a mirror of any digit in the seed,eliminate combo,0
"if combo has ≥4 shared digits with seed and combo digit sum < 10 -> eliminate combo,if combo has ≥4 shared digits with seed and combo digit sum < 10, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 10,"eliminate combo,if combo has ≥4 shared digits with seed and combo digit sum < 10, eliminate combo",0
"If a combo contains both a digit and its mirror (0/5 -> 1/6, 2/7, 3/8, 4/9), eliminate it",Manual,If a combo contains both a digit and its mirror (0/5,"1/6, 2/7, 3/8, 4/9), eliminate it",0
if combo has ≥1 shared digits with seed and combo digit  sum < 10 -> eliminate combo,Manual,if combo has ≥1 shared digits with seed and combo digit  sum < 10,eliminate combo,0
"if combo has ≥1 shared digits with seed and combo digit sum < 11 -> eliminate combo,if combo has ≥1 shared digits with seed and combo digit sum < 11, eliminate combo",Manual,if combo has ≥1 shared digits with seed and combo digit sum < 11,"eliminate combo,if combo has ≥1 shared digits with seed and combo digit sum < 11, eliminate combo",0
"if combo has ≥1 shared digits with seed and combo digit sum < 12 -> eliminate combo,if combo has ≥1 shared digits with seed and combo digit sum < 12, eliminate combo",Manual,if combo has ≥1 shared digits with seed and combo digit sum < 12,"eliminate combo,if combo has ≥1 shared digits with seed and combo digit sum < 12, eliminate combo",0
"if combo has ≥2 shared digits with seed and combo digit  sum < 10 -> eliminate combo,if combo has ≥2 shared digits with seed and combo digit  sum < 10, eliminate combo",Manual,if combo has ≥2 shared digits with seed and combo digit  sum < 10,"eliminate combo,if combo has ≥2 shared digits with seed and combo digit  sum < 10, eliminate combo",0
"if combo has ≥2 shared digits with seed and combo digit sum < 11 -> eliminate combo,if combo has ≥2 shared digits with seed and combo digit sum < 11, eliminate combo",Manual,if combo has ≥2 shared digits with seed and combo digit sum < 11,"eliminate combo,if combo has ≥2 shared digits with seed and combo digit sum < 11, eliminate combo",0
"if combo has ≥2 shared digits with seed and combo digit sum < 12 -> eliminate combo ,if combo has ≥2 shared digits with seed and combo digit sum < 12, eliminate combo",Manual,if combo has ≥2 shared digits with seed and combo digit sum < 12,"eliminate combo ,if combo has ≥2 shared digits with seed and combo digit sum < 12, eliminate combo",0
"if combo has ≥2 shared digits with seed and combo digit sum < 13 -> eliminate combo,if combo has ≥2 shared digits with seed and combo digit sum < 13, eliminate combo",Manual,if combo has ≥2 shared digits with seed and combo digit sum < 13,"eliminate combo,if combo has ≥2 shared digits with seed and combo digit sum < 13, eliminate combo",0
"If the digit sum of the combo equals the mirror of the seed sum -> eliminate combo,If the digit sum of the combo equals the mirror of the seed sum, eliminate combo",Manual,If the digit sum of the combo equals the mirror of the seed sum,"eliminate combo,If the digit sum of the combo equals the mirror of the seed sum, eliminate combo",0
"if combo has ≥2 shared digits with seed and combo digit sum < 14 -> eliminate combo,if combo has ≥2 shared digits with seed and combo digit sum < 14, eliminate combo",Manual,if combo has ≥2 shared digits with seed and combo digit sum < 14,"eliminate combo,if combo has ≥2 shared digits with seed and combo digit sum < 14, eliminate combo",0
"if combo has ≥3 shared digits with seed and combo digit sum < 11 -> eliminate combo,if combo has ≥3 shared digits with seed and combo digit sum < 11, eliminate combo",Manual,if combo has ≥3 shared digits with seed and combo digit sum < 11,"eliminate combo,if combo has ≥3 shared digits with seed and combo digit sum < 11, eliminate combo",0
"If combo has  ≥3 shared digits with seed and combo digit  sum < 12 -> eliminate combo,If combo has  ≥3 shared digits with seed and combo digit  sum < 12, eliminate combo",Manual,If combo has  ≥3 shared digits with seed and combo digit  sum < 12,"eliminate combo,If combo has  ≥3 shared digits with seed and combo digit  sum < 12, eliminate combo",0
"if combo has  ≥3 shared digits with seed and combo digit sum < 13 -> eliminate combo ,if combo has  ≥3 shared digits with seed and combo digit sum < 13, eliminate combo",Manual,if combo has  ≥3 shared digits with seed and combo digit sum < 13,"eliminate combo ,if combo has  ≥3 shared digits with seed and combo digit sum < 13, eliminate combo",0
"if combo has ≥3 shared digits with seed and combo digit sum < 14 -> eliminate combo,if combo has ≥3 shared digits with seed and combo digit sum < 14, eliminate combo",Manual,if combo has ≥3 shared digits with seed and combo digit sum < 14,"eliminate combo,if combo has ≥3 shared digits with seed and combo digit sum < 14, eliminate combo",0
"if combo has ≥3 shared digits with seed and combo digit sum < 15 -> eliminate combo ,if combo has ≥3 shared digits with seed and combo digit sum < 15, eliminate combo",Manual,if combo has ≥3 shared digits with seed and combo digit sum < 15,"eliminate combo ,if combo has ≥3 shared digits with seed and combo digit sum < 15, eliminate combo",0
"if combo has ≥3 shared digits with seed and combo digit sum < 16 -> eliminate combo ,if combo has ≥3 shared digits with seed and combo digit sum < 16, eliminate combo",Manual,if combo has ≥3 shared digits with seed and combo digit sum < 16,"eliminate combo ,if combo has ≥3 shared digits with seed and combo digit sum < 16, eliminate combo",0
"if combo has ≥3 shared digits with seed and combo digit sum < 17 -> eliminate combo,if combo has ≥3 shared digits with seed and combo digit sum < 17, eliminate combo",Manual,if combo has ≥3 shared digits with seed and combo digit sum < 17,"eliminate combo,if combo has ≥3 shared digits with seed and combo digit sum < 17, eliminate combo",0
"if combo has  ≥3 shared digits with seed and combo digit  sum < 18 -> eliminate combo,if combo has  ≥3 shared digits with seed and combo digit  sum < 18, eliminate combo",Manual,if combo has  ≥3 shared digits with seed and combo digit  sum < 18,"eliminate combo,if combo has  ≥3 shared digits with seed and combo digit  sum < 18, eliminate combo",0
"if combo has ≥3 shared digits with seed and combo digit sum < 10 -> eliminate combo,if combo has ≥3 shared digits with seed and combo digit sum < 10, eliminate combo",Manual,if combo has ≥3 shared digits with seed and combo digit sum < 10,"eliminate combo,if combo has ≥3 shared digits with seed and combo digit sum < 10, eliminate combo",0
